variable,group,psi
prec_sum_2017,AVILA,3.5520000219011107
prec_sum_2017,GUADALAJARA,3.5520000219011107
prec_sum_2017,CACERES,3.3563879408095714
prec_sum_2017,PONTEVEDRA,3.174249098294744
prec_sum_2017,CUENCA,2.6770171885966505
prec_sum_2017,SALAMANCA,2.624245282329628
prec_sum_2017,BIZKAIA,2.59832846718791
prec_sum_2017,GIPUZKOA,2.4750555713815534
prec_sum_2017,ASTURIAS,2.466590509948317
prec_sum_2017,MADRID,2.396850372894757
prec_sum_2017,LA RIOJA,2.3942269537809806
prec_sum_2017,ARABA/ALAVA,2.383408614726539
prec_sum_2017,ALBACETE,2.372864816379499
prec_sum_2017,TERUEL,2.3616722253144204
prec_sum_2017,A CORUÑA,2.348601032004716
prec_sum_2017,CANTABRIA,2.3483626458425393
prec_sum_2017,LUGO,2.3481068352127603
prec_sum_2017,VALLADOLID,2.3480650001457755
prec_sum_2017,MURCIA,2.34803393494228
prec_sum_2017,ILLES BALEARS,2.2150048742769255
prec_sum_2017,OURENSE,1.8958049128500492
prec_sum_2017,MALAGA,1.8224429350841476
prec_sum_2017,CIUDAD REAL,1.709225065620862
prec_sum_2017,GIRONA,1.5778088975418618
prec_sum_2017,BURGOS,1.5370167062674178
prec_sum_2017,BADAJOZ,1.4814313907449388
prec_sum_2017,JAEN,1.4037145749367501
prec_sum_2017,SORIA,1.3841713358077143
prec_sum_2017,ALMERIA,1.367875871175518
prec_sum_2017,SEGOVIA,1.2939798604696757
prec_sum_2017,ZARAGOZA,1.2846809241862642
prec_sum_2017,PALENCIA,1.187364126450923
prec_sum_2017,GRANADA,1.1861377809775784
prec_sum_2017,TOLEDO,1.174796401497624
prec_sum_2017,CASTELLON,1.16549959340008
prec_sum_2017,ALICANTE,0.7711719037340576
prec_sum_2017,TARRAGONA,0.649391363504249
prec_sum_2017,ZAMORA,0.4641545506009122
prec_sum_2017,LEON,0.27211159461396994
prec_sum_2017,BARCELONA,0.2512232716638045
prec_sum_2017,NAVARRA,0.22094469901910666
prec_sum_2017,VALENCIA,0.2118060465056356
prec_sum_2017,HUESCA,0.18952272708998916
prec_sum_2017,LLEIDA,0.06323311410149929
station_active_2017,A CORUÑA,
station_active_2017,ALBACETE,
station_active_2017,ALICANTE,
station_active_2017,ALMERIA,
station_active_2017,ARABA/ALAVA,
station_active_2017,ASTURIAS,
station_active_2017,AVILA,
station_active_2017,BADAJOZ,
station_active_2017,BALEARES,
station_active_2017,BARCELONA,
station_active_2017,BIZKAIA,
station_active_2017,BURGOS,
station_active_2017,CACERES,
station_active_2017,CADIZ,
station_active_2017,CANTABRIA,
station_active_2017,CASTELLON,
station_active_2017,CIUDAD REAL,
station_active_2017,CORDOBA,
station_active_2017,CUENCA,
station_active_2017,GIPUZKOA,
station_active_2017,GIRONA,
station_active_2017,GRANADA,
station_active_2017,GUADALAJARA,
station_active_2017,HUELVA,
station_active_2017,HUESCA,
station_active_2017,ILLES BALEARS,
station_active_2017,JAEN,
station_active_2017,LA RIOJA,
station_active_2017,LEON,
station_active_2017,LLEIDA,
station_active_2017,LUGO,
station_active_2017,MADRID,
station_active_2017,MALAGA,
station_active_2017,MURCIA,
station_active_2017,NAVARRA,
station_active_2017,OURENSE,
station_active_2017,PALENCIA,
station_active_2017,PONTEVEDRA,
station_active_2017,SALAMANCA,
station_active_2017,SEGOVIA,
station_active_2017,SEVILLA,
station_active_2017,SORIA,
station_active_2017,TARRAGONA,
station_active_2017,TERUEL,
station_active_2017,TOLEDO,
station_active_2017,VALENCIA,
